"Date","Weekday","Morning Shift","Evening Shift","Night Shift","Off / Leave"
"2026-06-11","Thursday","Aarav Mehta, Isha Verma, Ritika Jain","Arjun Rao, Neha Kapoor, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Priya Sharma","Kabir Nair, Rahul Sethi, Sahil Gupta"
"2026-06-12","Friday","Aarav Mehta, Isha Verma, Ritika Jain","Arjun Rao, Neha Kapoor, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Priya Sharma","Kabir Nair, Rahul Sethi, Sahil Gupta"
"2026-06-13","Saturday","Aarav Mehta, Isha Verma, Sahil Gupta","Arjun Rao, Neha Kapoor, Rahul Sethi, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Kabir Nair","Sneha Patel, Priya Sharma, Ritika Jain"
"2026-06-14","Sunday","Aarav Mehta, Sahil Gupta","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Kabir Nair","Isha Verma, Sneha Patel, Priya Sharma, Neha Kapoor, Diya Bansal, Ritika Jain"
"2026-06-15","Monday","Aarav Mehta, Sahil Gupta, Ritika Jain","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma","Isha Verma, Neha Kapoor, Diya Bansal"
"2026-06-16","Tuesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
"2026-06-17","Wednesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
"2026-06-18","Thursday","Aarav Mehta, Isha Verma, Ritika Jain","Arjun Rao, Neha Kapoor, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Priya Sharma","Kabir Nair, Rahul Sethi, Sahil Gupta"
"2026-06-19","Friday","Aarav Mehta, Isha Verma, Ritika Jain","Arjun Rao, Neha Kapoor, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Priya Sharma","Kabir Nair, Rahul Sethi, Sahil Gupta"
"2026-06-20","Saturday","Aarav Mehta, Isha Verma, Sahil Gupta","Arjun Rao, Neha Kapoor, Rahul Sethi, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Kabir Nair","Sneha Patel, Priya Sharma, Ritika Jain"
"2026-06-21","Sunday","Aarav Mehta, Sahil Gupta","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Kabir Nair","Isha Verma, Sneha Patel, Priya Sharma, Neha Kapoor, Diya Bansal, Ritika Jain"
"2026-06-22","Monday","Aarav Mehta, Sahil Gupta, Ritika Jain","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma","Isha Verma, Neha Kapoor, Diya Bansal"
"2026-06-23","Tuesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
"2026-06-24","Wednesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
"2026-06-25","Thursday","Aarav Mehta, Isha Verma, Ritika Jain","Arjun Rao, Neha Kapoor, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Priya Sharma","Kabir Nair, Rahul Sethi, Sahil Gupta"
"2026-06-26","Friday","Aarav Mehta, Isha Verma, Ritika Jain","Arjun Rao, Neha Kapoor, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Priya Sharma","Kabir Nair, Rahul Sethi, Sahil Gupta"
"2026-06-27","Saturday","Aarav Mehta, Isha Verma, Sahil Gupta","Arjun Rao, Neha Kapoor, Rahul Sethi, Diya Bansal, Nikhil Arora, Meera Menon","Rohan Singh, Kabir Nair","Sneha Patel, Priya Sharma, Ritika Jain"
"2026-06-28","Sunday","Aarav Mehta, Sahil Gupta","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Kabir Nair","Isha Verma, Sneha Patel, Priya Sharma, Neha Kapoor, Diya Bansal, Ritika Jain"
"2026-06-29","Monday","Aarav Mehta, Sahil Gupta, Ritika Jain","Arjun Rao, Rahul Sethi, Nikhil Arora, Meera Menon","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma","Isha Verma, Neha Kapoor, Diya Bansal"
"2026-06-30","Tuesday","Isha Verma, Sahil Gupta, Ritika Jain","Neha Kapoor, Rahul Sethi, Diya Bansal","Sneha Patel, Kabir Nair, Priya Sharma","Aarav Mehta, Rohan Singh, Arjun Rao, Nikhil Arora, Meera Menon"
"2026-07-01","Wednesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-02","Thursday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-03","Friday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-04","Saturday","Arjun Rao, Neha Kapoor, Sahil Gupta","Rohan Singh, Kabir Nair, Rahul Sethi, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal, Nikhil Arora","Sneha Patel, Priya Sharma, Ritika Jain"
"2026-07-05","Sunday","Arjun Rao, Sahil Gupta","Rohan Singh, Kabir Nair, Rahul Sethi, Meera Menon","Aarav Mehta, Nikhil Arora","Isha Verma, Sneha Patel, Priya Sharma, Neha Kapoor, Diya Bansal, Ritika Jain"
"2026-07-06","Monday","Arjun Rao, Sahil Gupta, Ritika Jain","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi, Meera Menon","Aarav Mehta, Nikhil Arora","Isha Verma, Neha Kapoor, Diya Bansal"
"2026-07-07","Tuesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-08","Wednesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-09","Thursday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-10","Friday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-11","Saturday","Arjun Rao, Neha Kapoor, Sahil Gupta","Rohan Singh, Kabir Nair, Rahul Sethi, Meera Menon","Aarav Mehta, Nikhil Arora","Isha Verma, Sneha Patel, Priya Sharma, Diya Bansal, Ritika Jain"
"2026-07-12","Sunday","Arjun Rao, Sahil Gupta","Rohan Singh, Kabir Nair, Rahul Sethi, Meera Menon","Aarav Mehta, Nikhil Arora","Isha Verma, Sneha Patel, Priya Sharma, Neha Kapoor, Diya Bansal, Ritika Jain"
"2026-07-13","Monday","Arjun Rao, Sahil Gupta, Ritika Jain","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal, Nikhil Arora","Neha Kapoor"
"2026-07-14","Tuesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-15","Wednesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-16","Thursday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-17","Friday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-18","Saturday","Arjun Rao, Neha Kapoor, Sahil Gupta","Rohan Singh, Kabir Nair, Rahul Sethi, Meera Menon","Aarav Mehta, Nikhil Arora","Isha Verma, Sneha Patel, Priya Sharma, Diya Bansal, Ritika Jain"
"2026-07-19","Sunday","Arjun Rao, Sahil Gupta","Rohan Singh, Kabir Nair, Rahul Sethi, Meera Menon","Aarav Mehta, Nikhil Arora","Isha Verma, Sneha Patel, Priya Sharma, Neha Kapoor, Diya Bansal, Ritika Jain"
"2026-07-20","Monday","Arjun Rao, Sahil Gupta, Ritika Jain","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal, Nikhil Arora","Neha Kapoor"
"2026-07-21","Tuesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-22","Wednesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-23","Thursday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-24","Friday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-25","Saturday","Arjun Rao, Neha Kapoor, Sahil Gupta","Rohan Singh, Kabir Nair, Rahul Sethi, Meera Menon","Aarav Mehta, Nikhil Arora","Isha Verma, Sneha Patel, Priya Sharma, Diya Bansal, Ritika Jain"
"2026-07-26","Sunday","Arjun Rao, Sahil Gupta","Rohan Singh, Kabir Nair, Rahul Sethi, Meera Menon","Aarav Mehta, Nikhil Arora","Isha Verma, Sneha Patel, Priya Sharma, Neha Kapoor, Diya Bansal, Ritika Jain"
"2026-07-27","Monday","Arjun Rao, Sahil Gupta, Ritika Jain","Rohan Singh, Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal, Nikhil Arora","Neha Kapoor"
"2026-07-28","Tuesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-29","Wednesday","Neha Kapoor, Sahil Gupta, Ritika Jain","Sneha Patel, Kabir Nair, Priya Sharma, Rahul Sethi","Isha Verma, Diya Bansal, Nikhil Arora","Aarav Mehta, Rohan Singh, Arjun Rao, Meera Menon"
"2026-07-30","Thursday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
"2026-07-31","Friday","Arjun Rao, Neha Kapoor, Ritika Jain","Rohan Singh, Sneha Patel, Priya Sharma, Meera Menon","Aarav Mehta, Isha Verma, Diya Bansal","Kabir Nair, Rahul Sethi, Nikhil Arora, Sahil Gupta"
